file,type,line,method,methodStart,methodEnd,source
/__test__/pagination.test.js,IdenticalTestDescription,"{'startLine':173,'endLine':184}","it('should show last page with show(17,2)', function () {
      list.show(17, 2)
      expect(pagination.find('a').length).toEqual(4)
      expect(pagination.find('a').get(0).innerHTML).toEqual('1')
      expect(pagination.find('a').get(1).innerHTML).toEqual('...')
      expect(pagination.find('a').get(2).innerHTML).toEqual('8')
      expect(pagination.find('a').get(3).innerHTML).toEqual('9')
      expect(pagination.find('a').get(4)).toEqual(undefined)
      expect($(pagination.find('li').get(1)).hasClass('active')).toEqual(false)
      expect($(pagination.find('li').get(2)).hasClass('active')).toEqual(false)
      expect($(pagination.find('li').get(3)).hasClass('active')).toEqual(true)
    })",173,184,snuts
/__test__/pagination.test.js,IdenticalTestDescription,"{'startLine':215,'endLine':222}","it('should have default settings', function () {
      expect(pagination.find('a').length).toEqual(4)
      expect(pagination.find('a').get(0).innerHTML).toEqual('1')
      expect(pagination.find('a').get(1).innerHTML).toEqual('2')
      expect(pagination.find('a').get(2).innerHTML).toEqual('...')
      expect(pagination.find('a').get(3).innerHTML).toEqual('9')
      expect(pagination.find('a').get(4)).toEqual(undefined)
    })",215,222,snuts
/__test__/pagination.test.js,IdenticalTestDescription,"{'startLine':224,'endLine':238}","it('should test show(7,2)', function () {
      list.show(7, 2)
      expect(pagination.find('a').length).toEqual(7)
      expect(pagination.find('a').get(0).innerHTML).toEqual('1')
      expect(pagination.find('a').get(1).innerHTML).toEqual('2')
      expect(pagination.find('a').get(2).innerHTML).toEqual('3')
      expect(pagination.find('a').get(3).innerHTML).toEqual('4')
      expect(pagination.find('a').get(4).innerHTML).toEqual('5')
      expect(pagination.find('a').get(5).innerHTML).toEqual('...')
      expect(pagination.find('a').get(6).innerHTML).toEqual('9')
      expect(pagination.find('a').get(7)).toEqual(undefined)
      expect($(pagination.find('li').get(2)).hasClass('active')).toEqual(false)
      expect($(pagination.find('li').get(3)).hasClass('active')).toEqual(true)
      expect($(pagination.find('li').get(4)).hasClass('active')).toEqual(false)
    })",224,238,snuts
/__test__/pagination.test.js,IdenticalTestDescription,"{'startLine':256,'endLine':268}","it('should show last page with show(17,2)', function () {
      list.show(17, 2)
      expect(pagination.find('a').length).toEqual(5)
      expect(pagination.find('a').get(0).innerHTML).toEqual('1')
      expect(pagination.find('a').get(1).innerHTML).toEqual('2')
      expect(pagination.find('a').get(2).innerHTML).toEqual('...')
      expect(pagination.find('a').get(3).innerHTML).toEqual('8')
      expect(pagination.find('a').get(4).innerHTML).toEqual('9')
      expect(pagination.find('a').get(5)).toEqual(undefined)
      expect($(pagination.find('li').get(2)).hasClass('active')).toEqual(false)
      expect($(pagination.find('li').get(3)).hasClass('active')).toEqual(false)
      expect($(pagination.find('li').get(4)).hasClass('active')).toEqual(true)
    })",256,268,snuts
/__test__/pagination.test.js,IdenticalTestDescription,"{'startLine':296,'endLine':303}","it('should have default settings', function () {
      expect(pagination.find('span').length).toEqual(4)
      expect(pagination.find('span').get(0).innerHTML).toEqual('1')
      expect(pagination.find('span').get(1).innerHTML).toEqual('2')
      expect(pagination.find('span').get(2).innerHTML).toEqual('3')
      expect(pagination.find('span').get(3).innerHTML).toEqual('...')
      expect(pagination.find('span').get(4)).toEqual(undefined)
    })",296,303,snuts
/__test__/pagination.test.js,IdenticalTestDescription,"{'startLine':305,'endLine':319}","it('should show same pages for show(7,2) and show(8,2)', function () {
      list.show(7, 2)
      expect(pagination.find('span').length).toEqual(7)
      expect(pagination.find('span').get(0).innerHTML).toEqual('...')
      expect(pagination.find('span').get(1).innerHTML).toEqual('2')
      expect(pagination.find('span').get(2).innerHTML).toEqual('3')
      expect(pagination.find('span').get(3).innerHTML).toEqual('4')
      expect(pagination.find('span').get(4).innerHTML).toEqual('5')
      expect(pagination.find('span').get(5).innerHTML).toEqual('6')
      expect(pagination.find('span').get(6).innerHTML).toEqual('...')
      expect(pagination.find('span').get(7)).toEqual(undefined)
      expect($(pagination.find('button').get(2)).hasClass('active')).toEqual(false)
      expect($(pagination.find('button').get(3)).hasClass('active')).toEqual(true)
      expect($(pagination.find('button').get(4)).hasClass('active')).toEqual(false)
    })",305,319,snuts
/__test__/pagination.test.js,IdenticalTestDescription,"{'startLine':321,'endLine':335}","it('should show same pages for show(7,2) and show(8,2)', function () {
      list.show(8, 2)
      expect(pagination.find('span').length).toEqual(7)
      expect(pagination.find('span').get(0).innerHTML).toEqual('...')
      expect(pagination.find('span').get(1).innerHTML).toEqual('2')
      expect(pagination.find('span').get(2).innerHTML).toEqual('3')
      expect(pagination.find('span').get(3).innerHTML).toEqual('4')
      expect(pagination.find('span').get(4).innerHTML).toEqual('5')
      expect(pagination.find('span').get(5).innerHTML).toEqual('6')
      expect(pagination.find('span').get(6).innerHTML).toEqual('...')
      expect(pagination.find('span').get(7)).toEqual(undefined)
      expect($(pagination.find('button').get(2)).hasClass('active')).toEqual(false)
      expect($(pagination.find('button').get(3)).hasClass('active')).toEqual(true)
      expect($(pagination.find('button').get(4)).hasClass('active')).toEqual(false)
    })",321,335,snuts
/__test__/pagination.test.js,IdenticalTestDescription,"{'startLine':337,'endLine':350}","it('should test show(14,2)', function () {
      list.show(14, 2)
      expect(pagination.find('span').length).toEqual(6)
      expect(pagination.find('span').get(0).innerHTML).toEqual('...')
      expect(pagination.find('span').get(1).innerHTML).toEqual('5')
      expect(pagination.find('span').get(2).innerHTML).toEqual('6')
      expect(pagination.find('span').get(3).innerHTML).toEqual('7')
      expect(pagination.find('span').get(4).innerHTML).toEqual('8')
      expect(pagination.find('span').get(5).innerHTML).toEqual('9')
      expect(pagination.find('span').get(6)).toEqual(undefined)
      expect($(pagination.find('button').get(2)).hasClass('active')).toEqual(false)
      expect($(pagination.find('button').get(3)).hasClass('active')).toEqual(true)
      expect($(pagination.find('button').get(4)).hasClass('active')).toEqual(false)
    })",337,350,snuts
/__test__/pagination.test.js,IdenticalTestDescription,"{'startLine':352,'endLine':363}","it('should show last page with show(17,2)', function () {
      list.show(17, 2)
      expect(pagination.find('span').length).toEqual(4)
      expect(pagination.find('span').get(0).innerHTML).toEqual('...')
      expect(pagination.find('span').get(1).innerHTML).toEqual('7')
      expect(pagination.find('span').get(2).innerHTML).toEqual('8')
      expect(pagination.find('span').get(3).innerHTML).toEqual('9')
      expect(pagination.find('span').get(4)).toEqual(undefined)
      expect($(pagination.find('button').get(1)).hasClass('active')).toEqual(false)
      expect($(pagination.find('button').get(2)).hasClass('active')).toEqual(false)
      expect($(pagination.find('button').get(3)).hasClass('active')).toEqual(true)
    })",352,363,snuts
/__test__/pagination.test.js,IdenticalTestDescription,"{'startLine':365,'endLine':371}","it('should handle page = 0', function () {
      expect(list.listContainer.style.display).toBe('')
      list.show(0, 0)
      expect(list.listContainer.style.display).toBe('none')
      list.show(1, 1)
      expect(list.listContainer.style.display).toBe('block')
    })",365,371,snuts
/__test__/pagination.test.js,VerboseStatement,"{'startLine':240,'endLine':255}","it('should test show(12,2)', function () {
      list.show(12, 2)
      expect(pagination.find('a').length).toEqual(8)
      expect(pagination.find('a').get(0).innerHTML).toEqual('1')
      expect(pagination.find('a').get(1).innerHTML).toEqual('2')
      expect(pagination.find('a').get(2).innerHTML).toEqual('...')
      expect(pagination.find('a').get(3).innerHTML).toEqual('5')
      expect(pagination.find('a').get(4).innerHTML).toEqual('6')
      expect(pagination.find('a').get(5).innerHTML).toEqual('7')
      expect(pagination.find('a').get(6).innerHTML).toEqual('...')
      expect(pagination.find('a').get(7).innerHTML).toEqual('9')
      expect(pagination.find('a').get(8)).toEqual(undefined)
      expect($(pagination.find('li').get(3)).hasClass('active')).toEqual(false)
      expect($(pagination.find('li').get(4)).hasClass('active')).toEqual(true)
      expect($(pagination.find('li').get(5)).hasClass('active')).toEqual(false)
    })",240,255,snuts
