Name,JavaScript Percentage,Test Framework,License
minbrowser/min,91.86%,no framework test,Apache License 2.0
miragejs/miragejs,95.67%,jest,MIT License
brasilapi/brasilapi,97.29%,no framework test,MIT License
css-doodle/css-doodle,99.92%,no framework test,MIT License
zotero/zotero,62.88%,mocha,Other
brookhong/surfingkeys,76.08%,jest,MIT License
mrxujiang/h5-dooring,52.78%,no framework test,GNU General Public License v3.0
grocy/grocy,34.48%,no framework test,MIT License
electerm/electerm,97.54%,no framework test,MIT License
hovancik/stretchly,76.00%,no framework test,"BSD 2-Clause ""Simplified"" License"
validatorjs/validator.js,100.00%,mocha,MIT License
vega/vega,74.33%,no framework test,"BSD 3-Clause ""New"" or ""Revised"" License"
shipshapecode/shepherd,48.80%,no framework test,Other
single-spa/single-spa,99.06%,jest,Other
shipshapecode/tether,91.65%,jest,MIT License
mozilla/nunjucks,93.51%,mocha,"BSD 2-Clause ""Simplified"" License"
jonobr1/two.js,97.61%,no framework test,MIT License
sandstorm-io/sandstorm,44.79%,no framework test,Other
dherault/serverless-offline,96.62%,mocha,MIT License
xiangyuecn/recorder,76.59%,no framework test,MIT License
floccusaddon/floccus,42.65%,mocha,Mozilla Public License 2.0
iamkun/dayjs,100.00%,jest,MIT License
mayswind/ariang,70.89%,no framework test,MIT License
remarkjs/react-markdown,100.00%,no framework test,MIT License
alyssaxuu/screenity,77.04%,no framework test,GNU General Public License v3.0
mongo-express/mongo-express,71.22%,mocha,MIT License
h5bp/html5-boilerplate,84.09%,mocha,MIT License
ai/nanoid,96.37%,no framework test,MIT License
copy/v86,36.16%,no framework test,"BSD 2-Clause ""Simplified"" License"
brianc/node-postgres,78.98%,no framework test,MIT License
star7th/showdoc,39.09%,no framework test,Other
cure53/dompurify,51.58%,no framework test,Other
graphite-project/graphite-web,52.64%,no framework test,Apache License 2.0
tensorflow/tfjs-examples,47.92%,jasmine,Apache License 2.0
mikemcl/decimal.js,99.76%,no framework test,MIT License
openstyles/stylus,82.62%,no framework test,GNU General Public License v3.0
gildas-lormeau/singlefile,75.82%,no framework test,GNU Affero General Public License v3.0
sverweij/dependency-cruiser,95.54%,mocha,MIT License
timvisee/send,88.75%,mocha,Mozilla Public License 2.0
sampotts/plyr,83.73%,no framework test,MIT License
googlechrome/workbox,67.01%,mocha,MIT License
yargs/yargs,71.05%,mocha,MIT License
jquery/jquery,94.05%,no framework test,MIT License
automattic/mongoose,94.37%,mocha,MIT License
gchq/cyberchef,97.21%,no framework test,Apache License 2.0
serverless/examples,31.33%,no framework test,Other
josdejong/jsoneditor,87.71%,mocha,Apache License 2.0
openlayers/openlayers,99.06%,mocha,"BSD 2-Clause ""Simplified"" License"
documentationjs/documentation,95.88%,jest,Other
googlechrome/lighthouse-ci,91.53%,jest,Apache License 2.0
share/sharedb,99.98%,mocha,Other
plankanban/planka,94.93%,no framework test,Other
xanderfrangos/twinkle-tray,65.30%,no framework test,MIT License
unitech/pm2,81.29%,mocha,Other
alvarotrigo/fullpage.js,94.02%,no framework test,GNU General Public License v3.0
videojs/video.js,96.63%,no framework test,Other
highlightjs/highlight.js,63.79%,mocha,"BSD 3-Clause ""New"" or ""Revised"" License"
processing/p5.js,68.43%,mocha,GNU Lesser General Public License v2.1
knex/knex,95.24%,mocha,MIT License
thealgorithms/javascript,99.97%,no framework test,GNU General Public License v3.0
wix/detox,63.12%,no framework test,MIT License
cerebroapp/cerebro,82.45%,jest,MIT License
i18next/react-i18next,67.69%,no framework test,MIT License
1j01/jspaint,95.56%,cypress,MIT License
ly525/luban-h5,73.20%,no framework test,GNU General Public License v3.0
axios/axios,87.14%,mocha,MIT License
typicode/husky,92.07%,no framework test,MIT License
framework7io/framework7,44.81%,no framework test,MIT License
vulcanjs/vulcan,98.53%,no framework test,MIT License
googlechrome/chrome-extensions-samples,81.70%,no framework test,Apache License 2.0
pinojs/pino,92.04%,jest,MIT License
cesiumgs/cesium,89.12%,no framework test,Apache License 2.0
ljharb/qs,100.00%,no framework test,"BSD 3-Clause ""New"" or ""Revised"" License"
facebook/metro,99.81%,jest,MIT License
webgoat/webgoat,49.73%,no framework test,Other
azgaar/fantasy-map-generator,74.65%,no framework test,Other
pedroslopez/whatsapp-web.js,99.52%,mocha,Apache License 2.0
azl397985856/leetcode,83.76%,no framework test,Other
nolimits4web/swiper,94.70%,no framework test,MIT License
swagger-api/swagger-ui,95.41%,jest,Apache License 2.0
appium/appium,76.18%,mocha,Apache License 2.0
sweetalert2/sweetalert2,84.42%,cypress,MIT License
codesandbox/codesandbox-client,89.86%,no framework test,Other
swagger-api/swagger-editor,94.74%,jest,Apache License 2.0
davidjbradshaw/iframe-resizer,68.58%,jest,Other
academicpages/academicpages.github.io,23.77%,no framework test,MIT License
stalniy/casl,51.20%,no framework test,MIT License
leaflet/leaflet,86.85%,mocha,"BSD 2-Clause ""Simplified"" License"
markedjs/marked,35.60%,no framework test,Other
anuraghazra/github-readme-stats,99.87%,jest,MIT License
handsontable/handsontable,92.55%,no framework test,Other
katex/katex,85.83%,jest,MIT License
hapijs/hapi,99.13%,no framework test,Other
mjmlio/mjml,100.00%,mocha,MIT License
node-formidable/formidable,98.29%,jest,MIT License
openpgpjs/openpgpjs,97.70%,mocha,GNU Lesser General Public License v3.0
arkime/arkime,29.26%,jest,Apache License 2.0
dash-industry-forum/dash.js,99.42%,mocha,Other
dequelabs/axe-core,89.15%,mocha,Mozilla Public License 2.0
up-for-grabs/up-for-grabs.net,49.39%,jest,Other
meteor/meteor,91.09%,no framework test,Other
tryghost/ghost,64.54%,no framework test,MIT License
googlechrome/lighthouse,93.90%,mocha,Apache License 2.0
mochajs/mocha,87.28%,no framework test,MIT License
haizlin/fe-interview,57.07%,no framework test,MIT License
plotly/plotly.js,99.68%,jasmine,MIT License
emotion-js/emotion,68.14%,no framework test,MIT License
aframevr/aframe,98.42%,mocha,MIT License
spencermountain/compromise,99.73%,no framework test,MIT License
fredriknoren/ungit,86.48%,mocha,MIT License
nasa/openmct,62.44%,no framework test,Other
habitrpg/habitica,52.40%,mocha,Other
aws/aws-sdk-js,80.64%,mocha,Apache License 2.0
playcanvas/engine,99.95%,mocha,MIT License
vercel/styled-jsx,99.97%,ava,MIT License
fyrd/caniuse,100.00%,no framework test,Creative Commons Attribution 4.0 International
npm/cli,99.70%,no framework test,Other
listen1/listen1_desktop,67.87%,no framework test,MIT License
qeeqbox/social-analyzer,100.00%,no framework test,GNU Affero General Public License v3.0
seanprashad/leetcode-patterns,79.20%,no framework test,GNU General Public License v3.0
pipedreamhq/pipedream,95.82%,jest,Other
manga-download/hakuneko,84.79%,jest,The Unlicense
pmndrs/drei,59.20%,no framework test,MIT License
trekhleb/javascript-algorithms,99.99%,jest,MIT License
vuejs/vue-cli,75.05%,jest,MIT License
gorhill/ublock,88.70%,no framework test,GNU General Public License v3.0
zloirock/core-js,98.45%,no framework test,MIT License
semantic-release/semantic-release,100.00%,ava,MIT License
naturalnode/natural,66.89%,jasmine,MIT License
brave/brave-browser,100.00%,no framework test,Mozilla Public License 2.0
webpack/webpack-dev-server,100.00%,jest,MIT License
i18next/i18next,78.23%,no framework test,MIT License
countly/countly-server,82.39%,mocha,Other
openwrt/luci,58.82%,no framework test,Apache License 2.0
bigskysoftware/htmx,91.98%,mocha,Other
hypfer/valetudo,68.32%,no framework test,Apache License 2.0
module-federation/module-federation-examples,63.82%,jest,MIT License
facebook/create-react-app,98.35%,jest,MIT License
vercel/next.js,61.04%,jest,MIT License
serverless/serverless,98.54%,mocha,MIT License
mozilla/pdf.js,70.79%,jasmine,Apache License 2.0
emberjs/ember.js,59.34%,mocha,MIT License
poteto/hiring-without-whiteboards,100.00%,no framework test,MIT License
lovell/sharp,76.86%,no framework test,Apache License 2.0
eslint/eslint,99.43%,mocha,MIT License
fastify/fastify,91.27%,no framework test,Other
svg/svgo,97.84%,jest,MIT License
jsdom/jsdom,70.46%,mocha,MIT License
ampproject/amphtml,79.93%,mocha,Apache License 2.0
be5invis/iosevka,99.46%,no framework test,SIL Open Font License 1.1
node-red/node-red,99.75%,mocha,Apache License 2.0
devexpress/testcafe,73.77%,no framework test,MIT License
11ty/eleventy,97.72%,ava,MIT License
stylelint/stylelint,99.03%,jest,MIT License
chakra-core/chakracore,52.77%,no framework test,MIT License
wordpress/gutenberg,59.61%,jest,Other
violentmonkey/violentmonkey,68.18%,jest,MIT License
blackmatrix7/ios_rule_script,97.53%,no framework test,GNU General Public License v2.0
is-a-dev/register,100.00%,ava,GNU General Public License v3.0
facebook/react,67.23%,jest,MIT License
parcel-bundler/parcel,80.02%,mocha,MIT License
dcloudio/uni-app,82.71%,jest,Apache License 2.0
preactjs/preact,95.99%,no framework test,MIT License
parse-community/parse-server,97.75%,jasmine,Apache License 2.0
quasarframework/quasar,88.44%,no framework test,MIT License
docsifyjs/docsify,86.46%,jest,MIT License
microsoft/web-dev-for-beginners,55.07%,no framework test,MIT License
badges/shields,99.85%,mocha,Creative Commons Zero v1.0 Universal
lutzroeder/netron,95.78%,no framework test,MIT License
nodebb/nodebb,87.39%,no framework test,GNU General Public License v3.0
grommet/grommet,71.94%,jest,Apache License 2.0
vuelidate/vuelidate,64.94%,jest,MIT License
freetubeapp/freetube,45.96%,no framework test,GNU Affero General Public License v3.0
fluid-dev/hexo-theme-fluid,41.32%,no framework test,GNU General Public License v3.0
prismarinejs/mineflayer,100.00%,mocha,MIT License
nodejs/undici,96.42%,jest,MIT License
orkestral/venom,0.00%,no framework test,Other
xiu2/userscript,100.00%,no framework test,GNU General Public License v3.0
twbs/bootstrap,25.76%,jasmine,MIT License
