file,type,line,method,methodStart,methodEnd,source
/dist/__tests__/Collection-test.js,SubOptimalAssert,"{'startLine':211,'endLine':211}","it('lets you filter with custom logic', function() {
        const filter = jest.fn(function(path) {
          return path.value.name === 'foo';
        });
        const fooVariables = Collection.fromNodes(nodes).filter(filter);

        expect(filter.mock.calls.length).toBe(2);
        expect(fooVariables.length).toBe(1);
      })",205,213,snuts
/dist/__tests__/Collection-test.js,SubOptimalAssert,"{'startLine':212,'endLine':212}","it('lets you filter with custom logic', function() {
        const filter = jest.fn(function(path) {
          return path.value.name === 'foo';
        });
        const fooVariables = Collection.fromNodes(nodes).filter(filter);

        expect(filter.mock.calls.length).toBe(2);
        expect(fooVariables.length).toBe(1);
      })",205,213,snuts
/dist/__tests__/Collection-test.js,SubOptimalAssert,"{'startLine':222,'endLine':222}","it('lets you iterate over each element of an collection', function() {
        const each = jest.fn();
        Collection.fromNodes(nodes).forEach(each);

        expect(each.mock.calls.length).toBe(2);
        expect(each.mock.calls[0][0].value).toBe(nodes[0]);
        expect(each.mock.calls[1][0].value).toBe(nodes[1]);
      })",218,225,snuts
/dist/__tests__/Collection-test.js,SubOptimalAssert,"{'startLine':240,'endLine':240}","it('lets you test each element of a collection and stops when one passes the test', function() {
        const each = jest.fn().mockImplementation(() => true);
        Collection.fromNodes(nodes).some(each);

        expect(each.mock.calls.length).toBe(1);
        expect(each.mock.calls[0][0].value).toBe(nodes[0]);
      })",236,242,snuts
/dist/__tests__/Collection-test.js,SubOptimalAssert,"{'startLine':260,'endLine':260}","it('lets you test each element of a collection and stops when one fails the test', function() {
        const each = jest.fn().mockImplementation(() => false);
        Collection.fromNodes(nodes).every(each);

        expect(each.mock.calls.length).toBe(1);
        expect(each.mock.calls[0][0].value).toBe(nodes[0]);
      })",256,262,snuts
/dist/__tests__/Collection-test.js,SubOptimalAssert,"{'startLine':281,'endLine':281}","it('returns a new collection with mapped values', function() {
        const root = Collection.fromNodes(nodes);
        const mapped = root.map((_, i) => new NodePath(nodes[+!i]));

        expect(root).not.toBe(mapped);
        expect(mapped.length).toBe(2);
        expect(mapped.nodes()[0]).toBe(nodes[1]);
        expect(mapped.nodes()[1]).toBe(nodes[0]);
      })",276,284,snuts
/dist/__tests__/Collection-test.js,SubOptimalAssert,"{'startLine':292,'endLine':292}","it('dedupes elements', function() {
        const path = new NodePath(nodes[0]);
        const root = Collection.fromNodes(nodes);
        const mapped = root.map(() => path);

        expect(root).not.toBe(mapped);
        expect(mapped.length).toBe(1);
        expect(mapped.paths()[0]).toBe(path);
      })",286,294,snuts
/bin/__tests__/jscodeshift-test.js,IdenticalTestDescription,"{'startLine':311,'endLine':323}","it('sources ignore patterns from configuration file', () => {
      const patterns = ['sub/dir/', '*-test.js'];
      const gitignore = createTempFileWith(patterns.join('\n'), '.gitignore');
      sources.push(createTempFileWith('subfile', 'sub/dir/file.js'));

      return run(['-t', transform, '--ignore-config', gitignore].concat(sources)).then(
        () => {
          expect(readFile(sources[0]).toString()).toBe('transforma');
          expect(readFile(sources[1]).toString()).toBe('a');
          expect(readFile(sources[2]).toString()).toBe('subfile');
        }
      );
    })",311,323,snuts
/src/collections/__tests__/VariableDeclarator-test.js,SubOptimalAssert,"{'startLine':68,'endLine':68}","it('finds all variable declarators', function() {
      const declarators = Collection.fromNodes(nodes).findVariableDeclarators();
      expect(declarators.getTypes()).toContain('VariableDeclarator');
      expect(declarators.length).toBe(7);
    })",65,69,snuts
/src/collections/__tests__/VariableDeclarator-test.js,SubOptimalAssert,"{'startLine':74,'endLine':74}","it('finds variable declarators by name', function() {
      const declarators = Collection.fromNodes(nodes)
        .findVariableDeclarators('bar');
      expect(declarators.length).toBe(2);
    })",71,75,snuts
/src/collections/__tests__/VariableDeclarator-test.js,SubOptimalAssert,"{'startLine':84,'endLine':84}","it('finds module imports (require)', function() {
      const declarators = Collection.fromNodes(nodes)
        .findVariableDeclarators()
        .filter(VariableDeclaratorCollection.filters.requiresModule());

      expect(declarators.length).toBe(2);
    })",79,85,snuts
/src/collections/__tests__/VariableDeclarator-test.js,SubOptimalAssert,"{'startLine':92,'endLine':92}","it('finds module imports (require) by module name', function() {
      const declarators = Collection.fromNodes(nodes)
        .findVariableDeclarators()
        .filter(VariableDeclaratorCollection.filters.requiresModule('module'));

      expect(declarators.length).toBe(1);
    })",87,93,snuts
/src/collections/__tests__/VariableDeclarator-test.js,SubOptimalAssert,"{'startLine':102,'endLine':102}","it('accepts multiple module names', function() {
      const declarators = Collection.fromNodes(nodes)
        .findVariableDeclarators()
        .filter(VariableDeclaratorCollection.filters.requiresModule(
          ['module', 'module2']
        ));

      expect(declarators.length).toBe(2);
    })",95,103,snuts
/src/collections/__tests__/VariableDeclarator-test.js,SubOptimalAssert,"{'startLine':117,'endLine':117}","it('renames variable declarations considering scope', function() {
      Collection.fromNodes(nodes)
        .findVariableDeclarators()
        .filter(VariableDeclaratorCollection.filters.requiresModule('module'))
        .renameTo('xyz');

      const identifiers =
        Collection.fromNodes(nodes)
        .find(types.Identifier, {name: 'xyz'});

      expect(identifiers.length).toBe(6);
    })",107,118,snuts
/src/collections/__tests__/VariableDeclarator-test.js,SubOptimalAssert,"{'startLine':129,'endLine':129}","it('does not rename things that are not variables', function() {
      Collection.fromNodes(nodes)
        .findVariableDeclarators('blah')
        .renameTo('blarg');

      const identifiers =
        Collection.fromNodes(nodes)
        .find(types.Identifier, {name: 'blarg'});

      expect(identifiers.length).toBe(1);
    })",120,130,snuts
