file,type,line,frame
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/vanilla-lazyload/tests/unit/restore.test.js,Duplicate Assert,"{'line': 160, 'column': 4, 'index': 5219}","  158 |     expect(img).not.toHaveClassName(""loaded"");
  159 |     expect(img).not.toHaveClassName(""error"");
> 160 |     expect(img).not.toHaveClassName(""entered"");
      |    ^ Duplicate Assert
  161 |     expect(img).not.toHaveClassName(""exited"");
  162 |     expect(getStatus(img)).toBeNull();
  163 |   });"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/vanilla-lazyload/tests/unit/restore.test.js,Duplicate Assert,"{'line': 161, 'column': 4, 'index': 5267}","  159 |     expect(img).not.toHaveClassName(""error"");
  160 |     expect(img).not.toHaveClassName(""entered"");
> 161 |     expect(img).not.toHaveClassName(""exited"");
      |    ^ Duplicate Assert
  162 |     expect(getStatus(img)).toBeNull();
  163 |   });
  164 | });"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/vanilla-lazyload/tests/unit/restore.test.js,Duplicate Assert,"{'line': 203, 'column': 4, 'index': 6484}","  201 |     load(iframe, settings, instance);
  202 |     restore(iframe, settings);
> 203 |     expect(iframe).not.toHaveClassName(""applied"");
      |    ^ Duplicate Assert
  204 |     expect(iframe).not.toHaveClassName(""loading"");
  205 |     expect(iframe).not.toHaveClassName(""loaded"");
  206 |     expect(iframe).not.toHaveClassName(""error"");"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/vanilla-lazyload/tests/unit/restore.test.js,Duplicate Assert,"{'line': 204, 'column': 4, 'index': 6535}","  202 |     restore(iframe, settings);
  203 |     expect(iframe).not.toHaveClassName(""applied"");
> 204 |     expect(iframe).not.toHaveClassName(""loading"");
      |    ^ Duplicate Assert
  205 |     expect(iframe).not.toHaveClassName(""loaded"");
  206 |     expect(iframe).not.toHaveClassName(""error"");
  207 |     expect(iframe).not.toHaveClassName(""entered"");"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/vanilla-lazyload/tests/unit/restore.test.js,Duplicate Assert,"{'line': 205, 'column': 4, 'index': 6586}","  203 |     expect(iframe).not.toHaveClassName(""applied"");
  204 |     expect(iframe).not.toHaveClassName(""loading"");
> 205 |     expect(iframe).not.toHaveClassName(""loaded"");
      |    ^ Duplicate Assert
  206 |     expect(iframe).not.toHaveClassName(""error"");
  207 |     expect(iframe).not.toHaveClassName(""entered"");
  208 |     expect(iframe).not.toHaveClassName(""exited"");"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/vanilla-lazyload/tests/unit/restore.test.js,Duplicate Assert,"{'line': 206, 'column': 4, 'index': 6636}","  204 |     expect(iframe).not.toHaveClassName(""loading"");
  205 |     expect(iframe).not.toHaveClassName(""loaded"");
> 206 |     expect(iframe).not.toHaveClassName(""error"");
      |    ^ Duplicate Assert
  207 |     expect(iframe).not.toHaveClassName(""entered"");
  208 |     expect(iframe).not.toHaveClassName(""exited"");
  209 |     expect(getStatus(iframe)).toBeNull();"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/vanilla-lazyload/tests/unit/restore.test.js,Duplicate Assert,"{'line': 207, 'column': 4, 'index': 6685}","  205 |     expect(iframe).not.toHaveClassName(""loaded"");
  206 |     expect(iframe).not.toHaveClassName(""error"");
> 207 |     expect(iframe).not.toHaveClassName(""entered"");
      |    ^ Duplicate Assert
  208 |     expect(iframe).not.toHaveClassName(""exited"");
  209 |     expect(getStatus(iframe)).toBeNull();
  210 |   });"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/vanilla-lazyload/tests/unit/restore.test.js,Duplicate Assert,"{'line': 208, 'column': 4, 'index': 6736}","  206 |     expect(iframe).not.toHaveClassName(""error"");
  207 |     expect(iframe).not.toHaveClassName(""entered"");
> 208 |     expect(iframe).not.toHaveClassName(""exited"");
      |    ^ Duplicate Assert
  209 |     expect(getStatus(iframe)).toBeNull();
  210 |   });
  211 | });"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/vanilla-lazyload/tests/unit/restore.test.js,Duplicate Assert,"{'line': 260, 'column': 4, 'index': 8488}","  258 |     load(innerDiv, settings, instance);
  259 |     restore(innerDiv, settings);
> 260 |     expect(innerDiv).not.toHaveClassName(""applied"");
      |    ^ Duplicate Assert
  261 |     expect(innerDiv).not.toHaveClassName(""loading"");
  262 |     expect(innerDiv).not.toHaveClassName(""loaded"");
  263 |     expect(innerDiv).not.toHaveClassName(""error"");"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/vanilla-lazyload/tests/unit/restore.test.js,Duplicate Assert,"{'line': 261, 'column': 4, 'index': 8541}","  259 |     restore(innerDiv, settings);
  260 |     expect(innerDiv).not.toHaveClassName(""applied"");
> 261 |     expect(innerDiv).not.toHaveClassName(""loading"");
      |    ^ Duplicate Assert
  262 |     expect(innerDiv).not.toHaveClassName(""loaded"");
  263 |     expect(innerDiv).not.toHaveClassName(""error"");
  264 |     expect(innerDiv).not.toHaveClassName(""entered"");"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/vanilla-lazyload/tests/unit/restore.test.js,Duplicate Assert,"{'line': 262, 'column': 4, 'index': 8594}","  260 |     expect(innerDiv).not.toHaveClassName(""applied"");
  261 |     expect(innerDiv).not.toHaveClassName(""loading"");
> 262 |     expect(innerDiv).not.toHaveClassName(""loaded"");
      |    ^ Duplicate Assert
  263 |     expect(innerDiv).not.toHaveClassName(""error"");
  264 |     expect(innerDiv).not.toHaveClassName(""entered"");
  265 |     expect(innerDiv).not.toHaveClassName(""exited"");"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/vanilla-lazyload/tests/unit/restore.test.js,Duplicate Assert,"{'line': 263, 'column': 4, 'index': 8646}","  261 |     expect(innerDiv).not.toHaveClassName(""loading"");
  262 |     expect(innerDiv).not.toHaveClassName(""loaded"");
