file,type,line,frame
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/why-did-you-render/tests/librariesTests/react-router-dom.test.js,Conditional Test Logic,"{'line': 102, 'column': 6, 'index': 2506}","  100 |       }
  101 |
> 102 |       if (action.type === 'deepEqlState') {
      |      ^ Conditional Test Logic
  103 |         return cloneDeep(state);
  104 |       }
  105 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/why-did-you-render/tests/librariesTests/react-router-dom.test.js,Duplicate Assert,"{'line': 67, 'column': 4, 'index': 1609}","  65 |     ]);
  66 |
> 67 |     expect(updateInfos).toHaveLength(2);
     |    ^ Duplicate Assert
  68 |     expect(updateInfos).toEqual([
  69 |       expect.objectContaining({
  70 |         displayName: 'InnerComp',"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/why-did-you-render/tests/librariesTests/react-router-dom.test.js,Duplicate Assert,"{'line': 68, 'column': 4, 'index': 1650}","  66 |
  67 |     expect(updateInfos).toHaveLength(2);
> 68 |     expect(updateInfos).toEqual([
     |    ^ Duplicate Assert
  69 |       expect.objectContaining({
  70 |         displayName: 'InnerComp',
  71 |         hookName: 'useState',"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/why-did-you-render/tests/librariesTests/react-router-dom.test.js,Magic Number,"{'line': 67, 'column': 37, 'index': 1642}","  65 |     ]);
  66 |
> 67 |     expect(updateInfos).toHaveLength(2);
     |                                     ^ Magic Number
  68 |     expect(updateInfos).toEqual([
  69 |       expect.objectContaining({
  70 |         displayName: 'InnerComp',"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/why-did-you-render/tests/librariesTests/react-router-dom.test.js,Magic Number,"{'line': 149, 'column': 37, 'index': 3660}","  147 |     ]);
  148 |
> 149 |     expect(updateInfos).toHaveLength(1);
      |                                     ^ Magic Number
  150 |     expect(updateInfos[0].reason).toEqual({
  151 |       propsDifferences: [{
  152 |         diffType: diffTypes.deepEquals,"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/why-did-you-render/tests/librariesTests/react-router-dom.test.js,Redundant Print,"{'line': 39, 'column': 6, 'index': 908}","  37 |
  38 |       // eslint-disable-next-line no-console
> 39 |       console.log(`location is: ${location.pathname}`);
     |      ^ Redundant Print
  40 |
  41 |       return (
  42 |         <div>hi! {JSON.stringify(a)} {state}</div>"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/why-did-you-render/tests/librariesTests/react-router-dom.test.js,Redundant Print,"{'line': 119, 'column': 6, 'index': 2889}","  117 |
  118 |       // eslint-disable-next-line no-console
> 119 |       console.log(`location is: ${location.pathname}`);
      |      ^ Redundant Print
  120 |
  121 |       return <div>hi! {a.b}</div>;
  122 |     };"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/why-did-you-render/tests/librariesTests/react-redux.test.js,Conditional Test Logic,"{'line': 17, 'column': 4, 'index': 453}","  15 |
  16 |   const rootReducer = (state, action) => {
> 17 |     if (action.type === 'differentState') {
     |    ^ Conditional Test Logic
  18 |       return {a: {b: 'd'}};
  19 |     }
  20 |"
