file,type,line,frame
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/logger.test.js,Unknown Test,"{'column': 6, 'line': 150}","  148 |       });
  149 |
> 150 |       it('should add the expected transport', function (done) {
      |      ^ Unknown Test
  151 |         let logger = winston.createLogger();
  152 |         let expected = {message: 'foo', level: 'info'};
  153 |         let transport = new TransportStream({"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/logger.test.js,Unknown Test,"{'column': 6, 'line': 166}","  164 |       });
  165 |
> 166 |       it('should allow adding multiple transports', function () {
      |      ^ Unknown Test
  167 |         let transports = [
  168 |           new winston.transports.File({
  169 |             name: 'filelog-info.log',"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/logger.test.js,Unknown Test,"{'column': 6, 'line': 191}","  189 |
  190 |     describe('remove', function () {
> 191 |       it('should do nothing if transport was not added', function () {
      |      ^ Unknown Test
  192 |         let transports = [
  193 |           new winston.transports.Console(),
  194 |           new winston.transports.File({filename: path.join(testLogFixturesPath, 'filelog.log')})"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/logger.test.js,Unknown Test,"{'column': 6, 'line': 207}","  205 |       });
  206 |
> 207 |       it('should remove transport when matching one is found', function () {
      |      ^ Unknown Test
  208 |         let transports = [
  209 |           new winston.transports.Console(),
  210 |           new winston.transports.File({filename: path.join(testLogFixturesPath, 'filelog.log')})"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/logger.test.js,Unknown Test,"{'column': 6, 'line': 221}","  219 |       });
  220 |
> 221 |       it('should remove specified logger even when duplicate exists', function () {
      |      ^ Unknown Test
  222 |         let transports = [
  223 |           new winston.transports.File({
  224 |             name: 'filelog-info.log',"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/logger.test.js,Unknown Test,"{'column': 6, 'line': 245}","  243 |
  244 |     describe('clear', function () {
> 245 |       it('should do nothing when no transports exist', function () {
      |      ^ Unknown Test
  246 |         let logger = winston.createLogger();
  247 |         assume(logger.transports.length).equals(0);
  248 |         logger.clear();"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/logger.test.js,Unknown Test,"{'column': 6, 'line': 252}","  250 |       });
  251 |
> 252 |       it('should remove all transports', function () {
      |      ^ Unknown Test
  253 |         let logger = winston.createLogger({
  254 |           transports: [new winston.transports.Console()]
  255 |         });"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/logger.test.js,Unknown Test,"{'column': 6, 'line': 264}","  262 |
  263 |     describe('stream', function () {
> 264 |       it('should return a log stream for all transports', function () {
      |      ^ Unknown Test
  265 |         let logger = winston.createLogger();
  266 |         let outStream = logger.stream();
  267 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/logger.test.js,Unknown Test,"{'column': 4, 'line': 274}","  272 |
  273 |   describe('Log Levels', function () {
> 274 |     it('report unknown levels', function () {
      |    ^ Unknown Test
  275 |       const consoleErrorSpy = jest.spyOn(console, 'error');
  276 |       let logger = winston.createLogger();
  277 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/logger.test.js,Unknown Test,"{'column': 4, 'line': 283}","  281 |     });
  282 |
> 283 |     it('.<level>()', function (done) {
      |    ^ Unknown Test
  284 |       let logger = helpers.createLogger(function (info) {
  285 |         assume(info).is.an('object');
  286 |         assume(info.level).equals('info');"
